사건번호,사건명,case,year,month,day,해양사고발생(시),해양사고발생(분),해양사고발생시간대,계절,해양사고장소(위),해양사고장소(위도),해양사고장소(위분),해양사고장소(위초),해양사고장소(경),해양사고장소(경도),해양사고장소(경분),해양사고장소(경초),해양사고발생지역(대),해양사고발생지역(중),해양사고발생지역(통계용),선박명,선박중요도,선박톤수,톤수범위(통계용),선박용도(통계용),사망합계(선원_여객_기타),실종합계(선원_여객_기타),인명피해합계(사망_실종),부상합계(선원_여객_기타),총합(사망_실종_부상),lat,lon,lat2,lon2,timestamp
BS-2019-0427,원양어선 제38한성호·석유제품운반선 대운호 충돌사건,충돌,2019,7,3,11,9,08:00~12:00,여름,북,35.0,2,51,동,129.0,0,38,국내,개항 및 진입수로,부산항 및 진입수로,제38한성호,1,385.0,100~500톤미만,어선,0,0,0,0,0,35.0475,129.01055555555556,35.05,129.01,2019-07-03
BS-2019-0430,어선 제102전양호·어선 일성호 충돌사건,충돌,2019,7,3,9,33,08:00~12:00,여름,북,34.0,43,22,동,128.0,6,21,국내,남해영해,남해영해,제102전양호,1,27.0,25~30톤미만,어선,0,0,0,0,0,34.72277777777778,128.10583333333332,34.72,128.11,2019-07-03
BS-2019-0433,어선 영일호·일반화물선 아틀란틱하모니 충돌사건,충돌,2019,7,4,8,30,08:00~12:00,여름,북,35.0,12,51,동,129.0,42,15,국내,동해영해,동해영해,영일호,1,4.99,3~5톤미만,어선,0,0,0,0,0,35.21416666666667,129.70416666666665,35.21,129.7,2019-07-04
BS-2019-0437,어선 강양호· 석유제품운반선 살라미나 충돌사건,충돌,2019,7,4,21,32,20:00~24:00,여름,북,35.0,24,0,동,129.0,26,0,국내,개항 및 진입수로,"울산항(미포만포함), 포항항",강양호,1,8.55,5~10톤미만,어선,0,0,0,0,0,35.4,129.43333333333334,35.4,129.43,2019-07-04
BS-2019-0440,어선 동산호·낚시어선 매니아호 충돌사건,충돌,2019,7,5,5,52,04:00~08:00,여름,북,35.0,2,15,동,129.0,5,26,국내,남해영해,남해영해,동산호,1,2.99,2~3톤미만,어선,0,0,0,0,0,35.0375,129.09055555555557,35.04,129.09,2019-07-05
BS-2019-0442,군함 마라도함 · 원양어선 제718오룡호 충돌사건,충돌,2019,7,5,17,21,16:00~20:00,여름,북,35.0,4,49,동,129.0,7,42,국내,개항 및 진입수로,부산항 및 진입수로,마라도함,1,14800.0,"10,000~20,000톤미만",기타선,0,0,0,0,0,35.08027777777778,129.12833333333333,35.08,129.13,2019-07-05
BS-2019-0443,낚시어선 동성호·낚시어선 동승호 충돌사건,충돌,2019,7,5,19,30,16:00~20:00,여름,북,34.0,27,0,동,128.0,34,0,국내,남해영해,남해영해,동성호,1,9.77,5~10톤미만,어선,0,0,0,0,0,34.45,128.56666666666666,34.45,128.57,2019-07-05
BS-2019-0466,낚시어선 한바다호·어선 제3보성호 충돌사건,충돌,2019,7,14,9,50,08:00~12:00,여름,북,34.0,47,0,동,128.0,13,41,국내,남해영해,남해영해,한바다호,1,5.61,5~10톤미만,어선,0,0,0,0,0,34.78333333333333,128.22805555555556,34.78,128.23,2019-07-14
BS-2019-0506,석유제품운반선 한유 드림호·석유제품운반선 타스코 아마리트 충돌사건,충돌,2019,8,3,17,45,16:00~20:00,여름,북,35.0,31,10,동,129.0,22,34,국내,개항 및 진입수로,"울산항(미포만포함), 포항항",한유 드림호,1,2954.0,"1,000~5,000톤미만",유조선,0,0,0,0,0,35.519444444444446,129.37611111111113,35.52,129.38,2019-08-03
BS-2019-0536,어선 제503창남호·어선 태운호 충돌사건,충돌,2019,8,5,15,23,12:00~16:00,여름,북,34.0,13,26,동,128.0,42,30,국외,남해공해,남해공해,제503창남호,1,44.0,30~50톤미만,어선,0,0,0,0,0,34.223888888888894,128.70833333333331,34.22,128.71,2019-08-05
BS-2019-0541,어선 제590원진호·어선 영림호 충돌사건,충돌,2019,8,8,8,48,08:00~12:00,여름,북,34.0,43,0,동,128.0,22,0,국내,남해영해,남해영해,제590원진호,1,55.0,50~100톤미만,어선,0,0,0,0,0,34.71666666666667,128.36666666666667,34.72,128.37,2019-08-08
BS-2019-0544,어선 제355혜승호·예인선 목련3호 충돌사건,충돌,2019,8,8,16,22,16:00~20:00,여름,북,35.0,2,30,동,129.0,1,40,국내,남해영해,남해영해,제355혜승호,1,245.0,100~500톤미만,어선,0,0,0,0,0,35.041666666666664,129.0277777777778,35.04,129.03,2019-08-08
BS-2019-0560,일반화물선 일신프린세스로얄·낚시어선 체리피쉬호 충돌사건,충돌,2019,8,17,22,53,20:00~24:00,여름,북,34.0,44,0,동,128.0,16,0,국내,남해영해,남해영해,일신프린세스로얄호,1,5591.0,"5,000~10,000톤미만",화물선,0,0,0,0,0,34.733333333333334,128.26666666666668,34.73,128.27,2019-08-17
BS-2019-0580,어선 선진호·석유제품운반선 아쿠아마린 충돌사건,충돌,2019,8,23,5,20,04:00~08:00,여름,북,35.0,19,0,동,129.0,42,0,국외,동해공해,동해공해,선진호,1,9.77,5~10톤미만,어선,0,0,0,0,0,35.31666666666667,129.7,35.32,129.7,2019-08-23
BS-2019-0596,어선 카피탄마슬로베츠·어획물운반선 헬시8 충돌사건,충돌,2019,7,29,11,14,08:00~12:00,여름,북,35.0,3,54,동,129.0,0,41,국내,남해영해,남해영해,카피탄마슬로베츠,1,4407.0,"1,000~5,000톤미만",어선,0,0,0,0,0,35.065,129.0113888888889,35.06,129.01,2019-07-29
BS-2019-0616,어선 제9청양호ㆍ어선 부광호 충돌사건,충돌,2019,9,2,6,14,04:00~08:00,가을,북,35.0,33,0,동,129.0,28,0,국내,동해영해,동해영해,제9청양호,1,67.0,50~100톤미만,어선,0,0,0,0,0,35.55,129.46666666666667,35.55,129.47,2019-09-02
BS-2019-0621,기타선 제2신화호·어선 제11만물호 충돌사건,충돌,2019,9,3,21,22,20:00~24:00,가을,북,35.0,6,24,동,128.0,40,58,국내,남해영해,남해영해,제2신화호,1,16.0,15~20톤미만,기타선,0,0,0,0,0,35.10666666666667,128.68277777777777,35.11,128.68,2019-09-03
BS-2019-0625,어선 제56청광호·어선 신전호 충돌사건,충돌,2019,9,4,20,27,20:00~24:00,가을,북,34.0,55,27,동,128.0,31,32,국내,남해영해,남해영해,제56청광호,1,52.0,50~100톤미만,어선,0,0,0,0,0,34.924166666666665,128.52555555555557,34.92,128.53,2019-09-04
BS-2019-0648,예인선 제2001해영호·어선 제17연정호 충돌사건,충돌,2019,7,24,8,40,08:00~12:00,여름,북,34.0,55,35,동,128.0,3,58,국내,서해영해,서해영해,제2001해영호,1,51.0,50~100톤미만,예인선,0,0,0,0,0,34.92638888888889,128.06611111111113,34.93,128.07,2019-07-24
BS-2019-0649,낚시어선 뉴명성호·어선 재용호 충돌사건,충돌,2019,8,25,6,26,04:00~08:00,여름,북,34.0,44,19,동,128.0,27,55,국내,남해영해,남해영해,뉴명성호,1,9.77,5~10톤미만,어선,0,0,0,0,0,34.73861111111111,128.46527777777777,34.74,128.47,2019-08-25
BS-2019-0703,냉동운반선 나우타·냉동운반선 카나 충돌사건,충돌,2019,10,2,18,50,16:00~20:00,가을,북,34.0,4,0,동,128.0,40,54,국내,남해영해,남해영해,나우타,1,4190.0,"1,000~5,000톤미만",화물선,0,0,0,0,0,34.06666666666667,128.68166666666664,34.07,128.68,2019-10-02
BS-2019-0712,어선 수성호·어선 남경호 충돌사건,충돌,2019,10,5,5,59,04:00~08:00,가을,북,34.0,53,56,동,128.0,6,12,국내,남해영해,남해영해,수성호,1,3.28,3~5톤미만,어선,0,0,0,1,1,34.89888888888889,128.10333333333332,34.9,128.1,2019-10-05
BS-2019-0715,일반화물선 아사카호·일반화물선 장호영호 충돌사건,충돌,2019,10,7,10,0,08:00~12:00,가을,북,35.0,12,12,동,128.0,35,45,국내,남해영해,남해영해,아사카호,1,1130.0,"1,000~5,000톤미만",화물선,0,0,0,0,0,35.20333333333333,128.59583333333333,35.2,128.6,2019-10-07
BS-2019-0725,모터보트 에스에이1호·모터보트 복강호 충돌사건,충돌,2019,10,9,16,0,16:00~20:00,가을,북,35.0,4,14,동,128.0,26,27,국내,남해영해,남해영해,에스에이1호,1,1.24,1~2톤미만,수상레저기구,0,0,0,1,1,35.07055555555556,128.44083333333333,35.07,128.44,2019-10-09
BS-2019-0756,어선 어복호·모터보트 풍전레저호 충돌사건,충돌,2019,10,22,10,30,08:00~12:00,가을,북,35.0,4,23,동,128.0,27,7,국내,남해영해,남해영해,어복호,1,2.68,2~3톤미만,어선,0,0,0,0,0,35.073055555555555,128.45194444444442,35.07,128.45,2019-10-22
BS-2019-0789,모터보트 블루마린호·어선 화암호 충돌사건,충돌,2019,11,1,14,18,12:00~16:00,가을,북,34.0,56,0,동,128.0,59,0,국내,남해영해,남해영해,블루마린호,1,2.8,2~3톤미만,수상레저기구,0,0,0,0,0,34.93333333333333,128.98333333333332,34.93,128.98,2019-11-01
BS-2019-0793,낚시어선 제2대영호·선명미상 고무보트 충돌사건,충돌,2019,11,2,7,10,04:00~08:00,가을,북,35.0,0,34,동,128.0,49,7,국내,남해영해,남해영해,제2대영호,1,2.57,2~3톤미만,어선,0,0,0,0,0,35.00944444444445,128.8186111111111,35.01,128.82,2019-11-02
BS-2019-0809,낚시어선 제우스호·어선 용성호 충돌사건,충돌,2019,11,7,8,36,08:00~12:00,가을,북,34.0,46,6,동,128.0,27,22,국내,남해영해,남해영해,제우스호,1,9.77,5~10톤미만,어선,0,0,0,1,1,34.76833333333333,128.4561111111111,34.77,128.46,2019-11-07
BS-2019-0810,어선 신영호·낚시어선 에이스호 충돌사건,충돌,2019,11,7,14,0,12:00~16:00,가을,북,34.0,58,0,동,128.0,58,0,국내,남해영해,남해영해,신영호,1,7.31,5~10톤미만,어선,0,0,0,0,0,34.96666666666667,128.96666666666667,34.97,128.97,2019-11-07
BS-2019-0811,낚시어선 피오르드호·무동력선 두꺼비10호 충돌사건,충돌,2019,11,7,13,43,12:00~16:00,가을,북,35.0,4,55,동,128.0,43,3,국내,남해영해,남해영해,피오르드호,1,9.77,5~10톤미만,어선,0,0,0,0,0,35.081944444444446,128.7175,35.08,128.72,2019-11-07
BS-2019-0827,어선 제3어성호· 어선 2동해호 충돌사건,충돌,2019,11,7,10,51,08:00~12:00,가을,북,35.0,39,6,동,129.0,27,5,국내,동해영해,동해영해,제3어성호,1,6.45,5~10톤미만,어선,0,0,0,0,0,35.651666666666664,129.45138888888889,35.65,129.45,2019-11-07
BS-2019-0828,어선 금광호·낚시어선 아리아호 충돌사건,충돌,2019,11,10,10,29,08:00~12:00,가을,북,34.0,55,32,동,128.0,57,47,국내,남해영해,남해영해,금광호,1,3.4,3~5톤미만,어선,0,0,0,0,0,34.925555555555555,128.96305555555554,34.93,128.96,2019-11-10
BS-2019-0832,일반화물선 에스엠3호·석유제품운반선 코도쿠마루 충돌사건,충돌,2019,9,29,14,55,12:00~16:00,가을,북,33.0,56,30,동,130.0,51,42,국외,기타,기타,에스엠 3호 ,1,1493.0,"1,000~5,000톤미만",화물선,0,0,0,0,0,33.94166666666666,130.86166666666665,33.94,130.86,2019-09-29
BS-2019-0839,어선 백구호·고무보트 보스호 충돌사건,충돌,2019,11,16,10,47,08:00~12:00,가을,북,34.0,53,2,동,128.0,57,24,국내,남해영해,남해영해,백구호,1,4.98,3~5톤미만,어선,0,0,0,0,0,34.88388888888889,128.95666666666665,34.88,128.96,2019-11-16
BS-2019-0856,낚시어선 해그린호·어선 지아호 충돌사건,충돌,2019,11,21,17,41,16:00~20:00,가을,북,34.0,44,23,동,128.0,24,16,국내,남해영해,남해영해,해그린호,1,9.77,5~10톤미만,어선,0,0,0,0,0,34.73972222222222,128.40444444444444,34.74,128.4,2019-11-21
BS-2019-0858,낚시어선 스텔라호 어선 태경38호 충돌사건,충돌,2019,11,22,17,2,16:00~20:00,가을,북,34.0,56,0,동,128.0,56,52,국내,남해영해,남해영해,스텔라호,1,9.77,5~10톤미만,어선,0,0,0,4,4,34.93333333333333,128.9477777777778,34.93,128.95,2019-11-22
BS-2019-0931,어선 제3진안호ㆍ어선 대성호 충돌사건,충돌,2019,12,18,15,8,12:00~16:00,겨울,북,34.0,46,8,동,128.0,32,44,국내,남해영해,남해영해,제3진안호,1,3.09,3~5톤미만,어선,0,0,0,0,0,34.76888888888889,128.54555555555555,34.77,128.55,2019-12-18
BS-2020-0027,예선 지원3호ㆍ어선 영진호 충돌사건,충돌,2019,12,12,10,42,08:00~12:00,겨울,북,35.0,28,38,동,129.0,25,45,국내,동해영해,동해영해,지원3호,1,124.0,100~500톤미만,예인선,0,0,0,0,0,35.477222222222224,129.42916666666665,35.48,129.43,2019-12-12
DH-2019-0283,예인선 102다양호의 피예인부선 포항2호ㆍ어선 대해호 충돌사건,충돌,2019,8,5,6,41,04:00~08:00,여름,북,36.0,5,35,동,129.0,32,21,국내,동해영해,동해영해,포항2호,1,130.0,100~500톤미만,기타선,0,0,0,0,0,36.09305555555556,129.53916666666666,36.09,129.54,2019-08-05
DH-2019-0284,어선 장성호ㆍ어선 하나호 충돌사건,충돌,2019,8,8,7,32,04:00~08:00,여름,북,36.0,7,11,동,129.0,33,46,국내,동해영해,동해영해,장성호,1,5.8,5~10톤미만,어선,0,0,0,0,0,36.11972222222222,129.5627777777778,36.12,129.56,2019-08-08
DH-2019-0393,"일체형압항선 고려105호의 압항부선 해양105호, 어선 대왕호 충돌사건",충돌,2019,11,2,3,59,00:00~04:00,가을,북,35.0,47,37,동,129.0,32,48,국내,동해영해,동해영해,해양105호,1,966.0,"500~1,000톤미만",기타선,0,0,0,0,0,35.79361111111111,129.54666666666665,35.79,129.55,2019-11-02
DH-2019-0408,"산적화물선 광양7호, 어선 동원호 충돌사건",충돌,2019,11,8,16,59,16:00~20:00,가을,북,36.0,2,45,동,129.0,37,16,국내,동해영해,동해영해,광양7호,1,4570.0,"1,000~5,000톤미만",화물선,0,0,0,0,0,36.04583333333333,129.6211111111111,36.05,129.62,2019-11-08
DH-2019-0414,"예인선 용문호, 어선 500근해호 충돌사건",충돌,2019,11,12,17,55,16:00~20:00,가을,북,36.0,5,0,동,129.0,34,0,국내,동해영해,동해영해,용문호,1,47.0,30~50톤미만,예인선,0,0,0,0,0,36.083333333333336,129.56666666666666,36.08,129.57,2019-11-12
DH-2019-0462,"어선 남성호, 일반화물선 보통(BO TONG) 충돌사건",충돌,2019,12,13,6,25,04:00~08:00,겨울,북,36.0,8,0,동,129.0,31,0,국내,동해영해,동해영해,남성호,1,3.28,3~5톤미만,어선,0,0,0,0,0,36.13333333333333,129.51666666666668,36.13,129.52,2019-12-13
DH-2020-0002,"어선 제83양진호, 어선 제2005성광호 충돌사건",충돌,2019,12,21,17,8,16:00~20:00,겨울,북,36.0,12,0,동,129.0,41,0,국내,동해영해,동해영해,제83양진호,1,50.0,50~100톤미만,어선,0,0,0,0,0,36.2,129.68333333333334,36.2,129.68,2019-12-21
DH-2020-0014,"어선 제25일성호, 냉동운반선 스바루 충돌사건",충돌,2019,12,1,15,6,12:00~16:00,겨울,북,35.0,51,35,동,129.0,45,48,국내,동해영해,동해영해,제25일성호,1,29.0,25~30톤미만,어선,0,0,0,0,0,35.859722222222224,129.76333333333332,35.86,129.76,2019-12-01
MP-2019-1377,"낚시어선 짱구호, 낚시어선 헌터호 충돌사건",충돌,2019,12,17,12,13,12:00~16:00,겨울,북,34.0,35,11,동,127.0,45,33,국내,남해영해,남해영해,헌터호,2,4.93,3~5톤미만,어선,0,0,0,0,0,34.58638888888889,127.75916666666669,34.59,127.76,2019-12-17
MP-2019-1376,"어선 오공호, 어선 화성호 충돌사건",충돌,2019,12,18,23,0,20:00~24:00,겨울,북,34.0,33,12,동,127.0,41,0,국내,남해영해,남해영해,화성호,2,3.49,3~5톤미만,어선,0,0,0,0,0,34.55333333333333,127.68333333333334,34.55,127.68,2019-12-18
MP-2019-1372,"어선 800형빈호,어선 7화원호, 모터보트 선창호, 모터보트 돌또미호, 모터보트 이호호 충돌사건",충돌,2019,12,16,16,15,16:00~20:00,겨울,북,33.0,31,6,동,126.0,31,58,국내,개항 및 진입수로,"제주항, 서귀포항",이호호,5,0.0,미상,수상레저기구,0,0,0,0,0,33.51833333333333,126.53277777777778,33.52,126.53,2019-12-16
MP-2019-1321,"어선 유성호, 어선 재현호 충돌사건",충돌,2019,12,5,12,31,12:00~16:00,겨울,북,34.0,30,8,동,127.0,7,44,국내,남해영해,남해영해,재현호,2,1.09,1~2톤미만,어선,1,0,1,0,1,34.50222222222222,127.12888888888888,34.5,127.13,2019-12-05
MP-2019-1308,"어선 제707동남호, 어선 광림호 충돌사건",충돌,2019,12,5,2,32,00:00~04:00,겨울,북,35.0,3,0,동,125.0,35,0,국외,서해공해,서해공해,광림호,2,29.0,25~30톤미만,어선,0,0,0,0,0,35.05,125.58333333333331,35.05,125.58,2019-12-05
MP-2019-1277,"낚시어선 인어스호, 낚시어선 포인트호 충돌사건",충돌,2019,12,1,6,44,04:00~08:00,겨울,북,34.0,31,27,동,127.0,7,27,국내,남해영해,남해영해,포인트호,2,4.99,3~5톤미만,어선,0,0,0,7,7,34.524166666666666,127.12416666666664,34.52,127.12,2019-12-01
MP-2019-1266,"어선 재원호, 부선 신흥9003호 충돌사건",충돌,2019,11,26,6,36,04:00~08:00,가을,북,34.0,34,54,동,127.0,42,28,국내,남해영해,남해영해,신흥9003,2,2114.0,"1,000~5,000톤미만",기타선,0,0,0,0,0,34.58166666666667,127.70777777777778,34.58,127.71,2019-11-26
MP-2019-1259,"어선 205남양호, 어선 만복호 충돌사건",충돌,2019,11,25,10,56,08:00~12:00,가을,북,34.0,47,26,동,126.0,24,42,국내,서해영해,서해영해,만복호,2,9.77,5~10톤미만,어선,0,0,0,0,0,34.79055555555556,126.41166666666668,34.79,126.41,2019-11-25
